SOC,Title,Task
49-9063.00,Musical Instrument Repairers and Tuners,"Polish instruments, using rags and polishing compounds, buffing wheels, or burnishing tools."
49-9063.00,Musical Instrument Repairers and Tuners,"Shape old parts and replacement parts to improve tone or intonation, using hand tools, lathes, or soldering irons."
49-9063.00,Musical Instrument Repairers and Tuners,"Make wood replacement parts, using woodworking machines and hand tools."
49-9063.00,Musical Instrument Repairers and Tuners,Mix and measure glue that will be used for instrument repair.
49-9063.00,Musical Instrument Repairers and Tuners,Align pads and keys on reed or wind instruments.
49-9063.00,Musical Instrument Repairers and Tuners,"Adjust felt hammers on pianos to increase tonal mellowness or brilliance, using sanding paddles, lacquer, or needles."
49-9063.00,Musical Instrument Repairers and Tuners,Solder posts and parts to hold them in their proper places.
49-9063.00,Musical Instrument Repairers and Tuners,"Remove dents and burrs from metal instruments, using mallets and burnishing tools."
49-9063.00,Musical Instrument Repairers and Tuners,Wash metal instruments in lacquer-stripping and cyanide solutions to remove lacquer and tarnish.
49-9063.00,Musical Instrument Repairers and Tuners,"Test tubes and pickups in electronic amplifier units, and solder parts and connections as necessary."
49-9063.00,Musical Instrument Repairers and Tuners,"Refinish instruments to protect and decorate them, using hand tools, buffing tools, and varnish."
49-9063.00,Musical Instrument Repairers and Tuners,Deliver pianos to purchasers or to locations of their use.
49-9063.00,Musical Instrument Repairers and Tuners,"Cut out sections around cracks on percussion instruments to prevent cracks from advancing, using shears or grinding wheels."
49-9063.00,Musical Instrument Repairers and Tuners,Refinish and polish piano cabinets or cases to prepare them for sale.
49-9063.00,Musical Instrument Repairers and Tuners,Solder or weld frames of mallet instruments and metal drum parts.
49-9063.00,Musical Instrument Repairers and Tuners,Remove drumheads by removing tension rods with drum keys and cutting tools.
49-9063.00,Musical Instrument Repairers and Tuners,Assemble bars onto percussion instruments.
49-9063.00,Musical Instrument Repairers and Tuners,"Remove irregularities from tuning pins, strings, and hammers of pianos, using wood blocks or filing tools."
49-9063.00,Musical Instrument Repairers and Tuners,"Repair breaks in percussion instruments, such as drums and cymbals, using drill presses, power saws, glue, clamps, grinding wheels, or other hand tools."
49-9063.00,Musical Instrument Repairers and Tuners,"Clean, sand, and paint parts of percussion instruments to maintain their condition."
49-9063.00,Musical Instrument Repairers and Tuners,Replace xylophone bars and wheels.
49-9063.00,Musical Instrument Repairers and Tuners,"Strike wood, fiberglass, or metal bars of instruments, and use tuned blocks, stroboscopes, or electronic tuners to evaluate tones made by instruments."
49-9063.00,Musical Instrument Repairers and Tuners,Place rim hoops back onto drum shells to allow new drumheads to dry and become taut.
49-9063.00,Musical Instrument Repairers and Tuners,Assemble and install new pipe organs and pianos in buildings.
49-9063.00,Musical Instrument Repairers and Tuners,"Cut new drumheads from animal skins, using scissors, and soak drumheads in water to make them pliable."
49-9063.00,Musical Instrument Repairers and Tuners,"Stretch drumheads over rim hoops and tuck them around and under the hoops, using hand tucking tools."
49-9063.00,Musical Instrument Repairers and Tuners,"Remove material from bars of percussion instruments to obtain specified tones, using bandsaws, sanding machines, machine grinders, or hand files and scrapers."
49-9063.00,Musical Instrument Repairers and Tuners,File metal reeds until their pitches correspond with standard tuning bar pitches.
51-2021.00,"Coil Winders, Tapers, and Finishers","Operate or tend wire-coiling machines to wind wire coils used in electrical components such as resistors and transformers, and in electrical equipment and instruments such as bobbins and generators."
51-2021.00,"Coil Winders, Tapers, and Finishers",Review work orders and specifications to determine materials needed and types of parts to be processed.
51-2021.00,"Coil Winders, Tapers, and Finishers","Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers."
51-2021.00,"Coil Winders, Tapers, and Finishers","Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes."
51-2021.00,"Coil Winders, Tapers, and Finishers",Record production and operational data on specified forms.
51-2021.00,"Coil Winders, Tapers, and Finishers","Attach, alter, and trim materials such as wire, insulation, and coils, using hand tools."
51-2021.00,"Coil Winders, Tapers, and Finishers","Stop machines to remove completed components, using hand tools."
51-2021.00,"Coil Winders, Tapers, and Finishers","Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results."
51-2021.00,"Coil Winders, Tapers, and Finishers","Apply solutions or paints to wired electrical components, using hand tools, and bake components."
51-2021.00,"Coil Winders, Tapers, and Finishers","Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools."
51-2021.00,"Coil Winders, Tapers, and Finishers","Line slots with sheet insulation, and insert coils into slots."
51-3011.00,Bakers,"Observe color of products being baked and adjust oven temperatures, humidity, or conveyor speeds accordingly."
51-3011.00,Bakers,Set oven temperatures and place items into hot ovens for baking.
51-3011.00,Bakers,"Combine measured ingredients in bowls of mixing, blending, or cooking machinery."
51-3011.00,Bakers,"Measure or weigh flour or other ingredients to prepare batters, doughs, fillings, or icings, using scales or graduated containers."
51-3011.00,Bakers,"Roll, knead, cut, or shape dough to form sweet rolls, pie crusts, tarts, cookies, or other products."
51-3011.00,Bakers,"Place dough in pans, molds, or on sheets and bake in production ovens or on grills."
51-3011.00,Bakers,Check the quality of raw materials to ensure that standards and specifications are met.
51-3011.00,Bakers,Adapt the quantity of ingredients to match the amount of items to be baked.
